time,vehicle,category,severity,message
15:04:24,System,STATUS,INFO,"โหลด 1 IP จาก SQLite"
15:04:24,System,STATUS,INFO,"ขนาดฟอนต์ → 130% (235 องค์ประกอบ)"
15:04:24,Drone 1,STATUS,INFO,"color → #e11d48"
15:04:24,Drone 2,STATUS,INFO,"color → #2563eb"
15:04:24,Drone 3,STATUS,INFO,"color → #0d9488"
15:04:24,Drone 4,STATUS,INFO,"color → #9f1239"
15:04:24,Drone 5,STATUS,INFO,"color → #db2777"
15:04:24,Drone 6,STATUS,INFO,"color → #65a30d"
15:04:24,System,STATUS,INFO,"autoload cockpit settings"
15:04:24,System,STATUS,INFO,"subscribed to telemetry + events [mTLS]"
15:04:24,Drone 1,STATUS,INFO,"PING 1 ms · ICMP"
15:04:24,System,STATUS,INFO,"โหมดการบิน → FLIGHT"
15:04:25,System,STATUS,INFO,"map loaded"
15:04:29,Drone 1,STATUS,INFO,"PING 1 ms · ICMP"
15:04:32,Drone 1,COMMAND,INFO,"CONNECT Drone 1 → 127.0.0.1:5760 [tcp]"
15:04:32,System,COMMAND,INFO,"CONNECT: ok=True connected"
15:04:32,Drone 1,TELEMETRY,INFO,"CONNECTING UNKNOWN alt=0.0 bat=0% sat=0"
15:04:33,Drone 1,TELEMETRY,INFO,"CONNECTING UNKNOWN alt=0.0 bat=0% sat=0"
15:04:34,Drone 1,COMMAND,SUCCESS,"เลือก Head อัตโนมัติ → Drone 1"
15:04:34,Drone 1,STATUS,INFO,"PING 1 ms · ICMP"
15:04:35,Drone 1,COMMAND,INFO,"DELETE Drone 1 · remove from fleet"
15:04:35,Drone 1,STATUS,INFO,"removed from fleet"
15:04:35,System,COMMAND,INFO,"DELETE: ok=True"
15:05:00,Drone 1,COMMAND,INFO,"SCAN → CONNECT 192.168.40.38:5760 as Drone 1"
15:05:00,System,COMMAND,INFO,"CONNECT: ok=True connected"
15:05:00,Drone 1,STATUS,INFO,"Drone 1 added to fleet"
15:05:00,Drone 1,TELEMETRY,INFO,"CONNECTING UNKNOWN alt=0.0 bat=0% sat=0"
15:05:01,Drone 1,STATUS,INFO,"PING 5 ms · ICMP"
